#size	time	papi	pfs	ndk
32768	0	45	0	1
#size	time	papi	pfs	ndk
32768	0	50	0	2
#size	time	papi	pfs	ndk
32768	0	62	0	4
#size	time	papi	pfs	ndk
32768	0	86	0	8
#size	time	papi	pfs	ndk
32768	0	134	0	16
#size	time	papi	pfs	ndk
32768	0	230	0	32
#size	time	papi	pfs	ndk
32768	0	422	0	64
#size	time	papi	pfs	ndk
32768	0	806	0	128
#size	time	papi	pfs	ndk
32768	0	1574	0	256
#size	time	papi	pfs	ndk
32768	0	3110	0	512
#size	time	papi	pfs	ndk
32768	0	6182	0	1024
#size	time	papi	pfs	ndk
32768	0	12326	0	2048
#size	time	papi	pfs	ndk
32768	0	24614	0	4096
#size	time	papi	pfs	ndk
32768	0	49190	0	8192
#size	time	papi	pfs	ndk
32768	0	98336	0	16384
#size	time	papi	pfs	ndk
32768	1	196634	0	32768
#size	time	papi	pfs	ndk
32768	2	393239	0	65536
#size	time	papi	pfs	ndk
32768	4	786440	0	131072
#size	time	papi	pfs	ndk
32768	9	1572833	0	262144
#size	time	papi	pfs	ndk
32768	18	3145664	0	524288
#size	time	papi	pfs	ndk
32768	36	6291341	0	1048576
#size	time	papi	pfs	ndk
32768	73	12582581	0	2097152
#size	time	papi	pfs	ndk
32768	146	25165127	0	4194304
