#size	time	papi	pfs	ndk
1	0	43	0	1
#size	time	papi	pfs	ndk
2	0	41	0	1
#size	time	papi	pfs	ndk
4	0	41	0	1
#size	time	papi	pfs	ndk
8	0	44	0	1
#size	time	papi	pfs	ndk
16	0	44	0	1
#size	time	papi	pfs	ndk
32	0	44	0	1
#size	time	papi	pfs	ndk
64	0	44	0	1
#size	time	papi	pfs	ndk
128	0	44	0	1
#size	time	papi	pfs	ndk
256	0	44	0	1
#size	time	papi	pfs	ndk
512	0	44	0	1
#size	time	papi	pfs	ndk
1024	0	44	0	1
#size	time	papi	pfs	ndk
2048	0	44	0	1
#size	time	papi	pfs	ndk
4096	0	44	0	1
#size	time	papi	pfs	ndk
8192	0	44	0	1
#size	time	papi	pfs	ndk
16384	0	44	0	1
#size	time	papi	pfs	ndk
32768	0	44	0	1
#size	time	papi	pfs	ndk
65536	0	44	0	1
#size	time	papi	pfs	ndk
131072	0	44	0	1
#size	time	papi	pfs	ndk
262144	0	44	0	1
#size	time	papi	pfs	ndk
524288	0	44	0	1
#size	time	papi	pfs	ndk
1048576	0	44	0	1
#size	time	papi	pfs	ndk
2097152	0	44	0	1
#size	time	papi	pfs	ndk
4194304	0	44	5	1
